local_a_m,local_b_m,x_m,y_m,diameter_upper_bound_m,move_distance_m,move_and_detect_time_s
750.0,660.0,750.0,660.0,131.22100725349134,999.0495483208027,204.80990966416056
750.0,-660.0,750.0,-660.0,131.22100725349134,999.0495483208027,204.80990966416056
740.0,670.0,740.0,670.0,131.71823919610233,998.2484660644362,204.64969321288726
740.0,-670.0,740.0,-670.0,131.71823919610233,998.2484660644362,204.64969321288726
730.0,680.0,730.0,680.0,132.2205741719908,997.6472322419384,204.52944644838766
730.0,-680.0,730.0,-680.0,132.2205741719908,997.6472322419384,204.52944644838766
750.0,650.0,750.0,650.0,132.32860933320154,992.4716620639604,203.49433241279206
750.0,-650.0,750.0,-650.0,132.32860933320154,992.4716620639604,203.49433241279206
760.0,650.0,760.0,650.0,132.5617565261568,1000.0499987500625,205.0099997500125
760.0,-650.0,760.0,-650.0,132.5617565261568,1000.0499987500625,205.0099997500125
720.0,690.0,720.0,690.0,132.7278026525177,997.2462083156797,204.44924166313595
720.0,-690.0,720.0,-690.0,132.7278026525177,997.2462083156797,204.44924166313595
740.0,660.0,740.0,660.0,132.8067380498891,991.5644204992432,203.31288409984865
740.0,-660.0,740.0,-660.0,132.8067380498891,991.5644204992432,203.31288409984865
710.0,700.0,710.0,700.0,133.2397272719536,997.0456358662827,204.40912717325654
710.0,-700.0,710.0,-700.0,133.2397272719536,997.0456358662827,204.40912717325654
730.0,670.0,730.0,670.0,133.29063724934124,990.858213873206,203.17164277464119
730.0,-670.0,730.0,-670.0,133.29063724934124,990.858213873206,203.17164277464119
750.0,640.0,750.0,640.0,133.4855937545776,985.9513172565875,202.1902634513175
750.0,-640.0,750.0,-640.0,133.4855937545776,985.9513172565875,202.1902634513175
760.0,640.0,760.0,640.0,133.72307600978593,993.5793878699377,203.71587757398754
760.0,-640.0,760.0,-640.0,133.72307600978593,993.5793878699377,203.71587757398754
700.0,710.0,700.0,710.0,133.75616193312166,997.0456358662827,204.40912717325654
700.0,-710.0,700.0,-710.0,133.75616193312166,997.0456358662827,204.40912717325654
720.0,680.0,720.0,680.0,133.78006297866906,990.3534722511957,203.07069445023916
720.0,-680.0,720.0,-680.0,133.78006297866906,990.3534722511957,203.07069445023916
740.0,650.0,740.0,650.0,133.9431498687445,984.9365461794988,201.98730923589977
740.0,-650.0,740.0,-650.0,133.9431498687445,984.9365461794988,201.98730923589977
710.0,690.0,710.0,690.0,134.27478575880542,990.050503762308,203.0101007524616
710.0,-690.0,710.0,-690.0,134.27478575880542,990.050503762308,203.0101007524616
690.0,720.0,690.0,720.0,134.27693099148883,997.2462083156797,204.44924166313595
690.0,-720.0,690.0,-720.0,134.27693099148883,997.2462083156797,204.44924166313595
730.0,660.0,730.0,660.0,134.40721419761806,984.1239759298622,201.82479518597245
730.0,-660.0,730.0,-660.0,134.40721419761806,984.1239759298622,201.82479518597245
750.0,630.0,750.0,630.0,134.6945648376459,979.4896630388705,200.8979326077741
750.0,-630.0,750.0,-630.0,134.6945648376459,979.4896630388705,200.8979326077741
700.0,700.0,700.0,700.0,134.77458950115587,989.9494936611666,202.9898987322333
700.0,-700.0,700.0,-700.0,134.77458950115587,989.9494936611666,202.9898987322333
680.0,730.0,680.0,730.0,134.8018685097781,997.6472322419384,204.52944644838766
680.0,-730.0,680.0,-730.0,134.8018685097781,997.6472322419384,204.52944644838766
720.0,670.0,720.0,670.0,134.8775038690151,983.5141076771598,201.70282153543195
720.0,-670.0,720.0,-670.0,134.8775038690151,983.5141076771598,201.70282153543195
760.0,630.0,760.0,630.0,134.936536543612,987.1676655968832,202.43353311937665
760.0,-630.0,760.0,-630.0,134.936536543612,987.1676655968832,202.43353311937665
770.0,640.0,770.0,640.0,135.07605571168455,1001.2492197250393,205.24984394500785
770.0,-640.0,770.0,-640.0,135.07605571168455,1001.2492197250393,205.24984394500785
740.0,640.0,740.0,640.0,135.129959709256,978.3659846908007,200.67319693816015
740.0,-640.0,740.0,-640.0,135.129959709256,978.3659846908007,200.67319693816015
690.0,710.0,690.0,710.0,135.27927052079065,990.050503762308,203.0101007524616
690.0,-710.0,690.0,-710.0,135.27927052079065,990.050503762308,203.0101007524616
670.0,740.0,670.0,740.0,135.33081757607826,998.2484660644362,204.64969321288726
670.0,-740.0,670.0,-740.0,135.33081757607826,998.2484660644362,204.64969321288726
710.0,680.0,710.0,680.0,135.3537531507879,983.107318658548,201.6214637317096
710.0,-680.0,710.0,-680.0,135.3537531507879,983.107318658548,201.6214637317096
